TEAM_ID,TEAM_NAME,PARKID,2012_HOME_WINS,2012_HOME_LOSSES,2012_HOME_WIN_PERCENT,2012_AWAY_WINS,2012_AWAY_LOSSES,2012_AWAY_WIN_PERCENT,2012_TOTAL_WIN_PERCENT,2013_HOME_WINS,2013_HOME_LOSSES,2013_HOME_WIN_PERCENT,2013_AWAY_WINS,2013_AWAY_LOSSES,2013_AWAY_WIN_PERCENT,2013_TOTAL_WIN_PERCENT,2014_HOME_WINS,2014_HOME_LOSSES,2014_HOME_WIN_PERCENT,2014_AWAY_WINS,2014_AWAY_LOSSES,2014_AWAY_WIN_PERCENT,2014_TOTAL_WIN_PERCENT,2015_HOME_WINS,2015_HOME_LOSSES,2015_HOME_WIN_PERCENT,2015_AWAY_WINS,2015_AWAY_LOSSES,2015_AWAY_WIN_PERCENT,2015_TOTAL_WIN_PERCENT,2016_HOME_WINS,2016_HOME_LOSSES,2016_HOME_WIN_PERCENT,2016_AWAY_WINS,2016_AWAY_LOSSES,2016_AWAY_WIN_PERCENT,2016_TOTAL_WIN_PERCENT,2017_HOME_WINS,2017_HOME_LOSSES,2017_HOME_WIN_PERCENT,2017_AWAY_WINS,2017_AWAY_LOSSES,2017_AWAY_WIN_PERCENT,2017_TOTAL_WIN_PERCENT
ARI,Arizona Diamondbacks,PHO01,41,40,0.506172839506173,40,41,0.493827160493827,0.5,45,36,0.555555555555556,36,45,0.444444444444444,0.5,33,48,0.407407407407407,31,50,0.382716049382716,0.395061728395062,39,42,0.481481481481481,40,41,0.493827160493827,0.487654320987654,33,48,0.407407407407407,36,45,0.444444444444444,0.425925925925926,52,29,0.641975308641975,41,40,0.506172839506173,0.574074074074074
ATL,Atlanta Braves,ATL03,48,33,0.592592592592593,46,35,0.567901234567901,0.580246913580247,56,25,0.691358024691358,40,41,0.493827160493827,0.592592592592593,42,39,0.518518518518518,37,44,0.45679012345679,0.487654320987654,42,39,0.518518518518518,25,56,0.308641975308642,0.41358024691358,31,50,0.382716049382716,37,43,0.4625,0.422360248447205,37,44,0.45679012345679,35,46,0.432098765432099,0.444444444444444
BAL,Baltimore Orioles,BAL12,47,34,0.580246913580247,46,35,0.567901234567901,0.574074074074074,46,35,0.567901234567901,39,42,0.481481481481481,0.524691358024691,50,31,0.617283950617284,46,35,0.567901234567901,0.592592592592593,47,31,0.602564102564102,34,50,0.404761904761905,0.5,50,31,0.617283950617284,39,42,0.481481481481481,0.549382716049383,46,35,0.567901234567901,29,52,0.358024691358025,0.462962962962963
BOS,Boston Red Sox,BOS07,34,47,0.419753086419753,35,46,0.432098765432099,0.425925925925926,53,28,0.654320987654321,44,37,0.54320987654321,0.598765432098765,34,47,0.419753086419753,37,44,0.45679012345679,0.438271604938272,43,38,0.530864197530864,35,46,0.432098765432099,0.481481481481481,47,34,0.580246913580247,46,35,0.567901234567901,0.574074074074074,48,33,0.592592592592593,45,36,0.555555555555556,0.574074074074074
CHC,Chicago Cubs,CHI11,38,43,0.469135802469136,23,58,0.283950617283951,0.376543209876543,31,50,0.382716049382716,35,46,0.432098765432099,0.407407407407407,41,40,0.506172839506173,32,49,0.395061728395062,0.450617283950617,49,32,0.604938271604938,48,33,0.592592592592593,0.598765432098765,57,24,0.703703703703704,46,34,0.575,0.639751552795031,48,33,0.592592592592593,44,37,0.54320987654321,0.567901234567901
CIN,Cincinnati Reds,CIN09,50,31,0.617283950617284,47,34,0.580246913580247,0.598765432098765,49,31,0.6125,41,41,0.5,0.555555555555556,44,37,0.54320987654321,32,49,0.395061728395062,0.469135802469136,34,47,0.419753086419753,30,51,0.37037037037037,0.395061728395062,38,43,0.469135802469136,30,51,0.37037037037037,0.419753086419753,39,42,0.481481481481481,29,52,0.358024691358025,0.419753086419753
CLE,Cleveland Indians,CLE08,37,44,0.45679012345679,31,50,0.382716049382716,0.419753086419753,51,30,0.62962962962963,41,40,0.506172839506173,0.567901234567901,48,33,0.592592592592593,37,44,0.45679012345679,0.524691358024691,39,41,0.4875,42,39,0.518518518518518,0.503105590062112,53,28,0.654320987654321,41,39,0.5125,0.583850931677019,49,32,0.604938271604938,53,28,0.654320987654321,0.62962962962963
COL,Colorado Rockies,DEN02,35,46,0.432098765432099,29,52,0.358024691358025,0.395061728395062,45,36,0.555555555555556,29,52,0.358024691358025,0.45679012345679,45,36,0.555555555555556,21,60,0.259259259259259,0.407407407407407,36,45,0.444444444444444,32,49,0.395061728395062,0.419753086419753,42,39,0.518518518518518,33,48,0.407407407407407,0.462962962962963,46,35,0.567901234567901,41,40,0.506172839506173,0.537037037037037
CWS,Chicago White Sox,CHI12,45,36,0.555555555555556,40,41,0.493827160493827,0.524691358024691,37,44,0.45679012345679,26,55,0.320987654320988,0.388888888888889,40,41,0.493827160493827,33,48,0.407407407407407,0.450617283950617,40,41,0.493827160493827,36,45,0.444444444444444,0.469135802469136,45,36,0.555555555555556,33,48,0.407407407407407,0.481481481481481,39,42,0.481481481481481,28,53,0.345679012345679,0.41358024691358
DET,Detroit Tigers,DET05,50,31,0.617283950617284,38,43,0.469135802469136,0.54320987654321,51,30,0.62962962962963,42,39,0.518518518518518,0.574074074074074,45,36,0.555555555555556,45,36,0.555555555555556,0.555555555555556,38,43,0.469135802469136,36,44,0.45,0.459627329192547,45,35,0.5625,41,40,0.506172839506173,0.53416149068323,34,47,0.419753086419753,30,51,0.37037037037037,0.395061728395062
HOU,Houston Astros,HOU03,35,46,0.432098765432099,20,61,0.246913580246914,0.339506172839506,24,57,0.296296296296296,27,54,0.333333333333333,0.314814814814815,38,43,0.469135802469136,32,49,0.395061728395062,0.432098765432099,53,28,0.654320987654321,33,48,0.407407407407407,0.530864197530864,43,38,0.530864197530864,41,40,0.506172839506173,0.518518518518518,48,33,0.592592592592593,53,28,0.654320987654321,0.623456790123457
KCA,Kanses City Royals,KAN06,37,44,0.45679012345679,35,46,0.432098765432099,0.444444444444444,44,37,0.54320987654321,42,39,0.518518518518518,0.530864197530864,42,39,0.518518518518518,47,34,0.580246913580247,0.549382716049383,51,30,0.62962962962963,44,37,0.54320987654321,0.58641975308642,47,34,0.580246913580247,34,47,0.419753086419753,0.5,43,38,0.530864197530864,37,44,0.45679012345679,0.493827160493827
LAA,LA Angels,ANA01,46,35,0.567901234567901,43,38,0.530864197530864,0.549382716049383,39,42,0.481481481481481,39,42,0.481481481481481,0.481481481481481,52,29,0.641975308641975,46,35,0.567901234567901,0.604938271604938,49,32,0.604938271604938,36,45,0.444444444444444,0.524691358024691,40,41,0.493827160493827,34,47,0.419753086419753,0.45679012345679,43,38,0.530864197530864,37,44,0.45679012345679,0.493827160493827
LAD,Los Angeles Dodgers,LOS03,45,36,0.555555555555556,41,40,0.506172839506173,0.530864197530864,47,34,0.580246913580247,45,36,0.555555555555556,0.567901234567901,45,36,0.555555555555556,49,32,0.604938271604938,0.580246913580247,55,26,0.679012345679012,37,44,0.45679012345679,0.567901234567901,53,28,0.654320987654321,38,43,0.469135802469136,0.561728395061728,57,24,0.703703703703704,47,34,0.580246913580247,0.641975308641975
MIA,Miami Marlins,MIA02,38,43,0.469135802469136,31,50,0.382716049382716,0.425925925925926,36,45,0.444444444444444,26,55,0.320987654320988,0.382716049382716,42,39,0.518518518518518,35,46,0.432098765432099,0.475308641975309,41,40,0.506172839506173,30,51,0.37037037037037,0.438271604938272,40,40,0.5,39,42,0.481481481481481,0.490683229813665,42,36,0.538461538461538,35,49,0.416666666666667,0.475308641975309
MIL,Milwaukee Brewers,MIL06,49,32,0.604938271604938,34,47,0.419753086419753,0.512345679012346,37,44,0.45679012345679,37,44,0.45679012345679,0.45679012345679,42,39,0.518518518518518,40,41,0.493827160493827,0.506172839506173,34,47,0.419753086419753,34,47,0.419753086419753,0.419753086419753,41,40,0.506172839506173,32,49,0.395061728395062,0.450617283950617,46,38,0.547619047619048,40,38,0.512820512820513,0.530864197530864
MIN,Minnesota Twins,MIN04,31,50,0.382716049382716,35,46,0.432098765432099,0.407407407407407,32,49,0.395061728395062,34,47,0.419753086419753,0.407407407407407,35,46,0.432098765432099,35,46,0.432098765432099,0.432098765432099,46,35,0.567901234567901,37,44,0.45679012345679,0.512345679012346,30,51,0.37037037037037,29,52,0.358024691358025,0.364197530864197,41,40,0.506172839506173,44,37,0.54320987654321,0.524691358024691
NYM,New York Mets,NYC20,36,45,0.444444444444444,38,43,0.469135802469136,0.45679012345679,33,48,0.407407407407407,41,40,0.506172839506173,0.45679012345679,40,41,0.493827160493827,39,42,0.481481481481481,0.487654320987654,49,32,0.604938271604938,41,40,0.506172839506173,0.555555555555556,44,37,0.54320987654321,43,38,0.530864197530864,0.537037037037037,37,44,0.45679012345679,33,48,0.407407407407407,0.432098765432099
NYY,New York Yankees,NYC21,51,30,0.62962962962963,44,37,0.54320987654321,0.58641975308642,46,35,0.567901234567901,39,42,0.481481481481481,0.524691358024691,43,38,0.530864197530864,41,40,0.506172839506173,0.518518518518518,45,36,0.555555555555556,42,39,0.518518518518518,0.537037037037037,48,33,0.592592592592593,36,45,0.444444444444444,0.518518518518518,51,30,0.62962962962963,40,41,0.493827160493827,0.561728395061728
OAK,Oakland Athletics,OAK01,50,31,0.617283950617284,44,37,0.54320987654321,0.580246913580247,52,29,0.641975308641975,44,37,0.54320987654321,0.592592592592593,48,33,0.592592592592593,40,41,0.493827160493827,0.54320987654321,34,47,0.419753086419753,34,47,0.419753086419753,0.419753086419753,34,47,0.419753086419753,35,46,0.432098765432099,0.425925925925926,46,35,0.567901234567901,29,52,0.358024691358025,0.462962962962963
PHI,Philadelphia Phillies,PHI13,40,41,0.493827160493827,41,40,0.506172839506173,0.5,43,38,0.530864197530864,30,51,0.37037037037037,0.450617283950617,37,44,0.45679012345679,36,45,0.444444444444444,0.450617283950617,37,44,0.45679012345679,26,55,0.320987654320988,0.388888888888889,37,44,0.45679012345679,34,47,0.419753086419753,0.438271604938272,39,42,0.481481481481481,27,54,0.333333333333333,0.407407407407407
PIT,Pittsburgh Pirates,PIT08,45,36,0.555555555555556,34,47,0.419753086419753,0.487654320987654,50,31,0.617283950617284,44,37,0.54320987654321,0.580246913580247,51,30,0.62962962962963,37,44,0.45679012345679,0.54320987654321,53,28,0.654320987654321,45,36,0.555555555555556,0.604938271604938,38,42,0.475,40,41,0.493827160493827,0.484472049689441,44,37,0.54320987654321,31,50,0.382716049382716,0.462962962962963
SDN,San Diego Padres,SAN02,42,39,0.518518518518518,34,47,0.419753086419753,0.469135802469136,45,36,0.555555555555556,31,50,0.382716049382716,0.469135802469136,48,33,0.592592592592593,29,52,0.358024691358025,0.475308641975309,39,42,0.481481481481481,35,46,0.432098765432099,0.45679012345679,39,42,0.481481481481481,29,52,0.358024691358025,0.419753086419753,43,38,0.530864197530864,28,53,0.345679012345679,0.438271604938272
SEA,Seattle Mariners,SEA03,40,41,0.493827160493827,35,46,0.432098765432099,0.462962962962963,36,45,0.444444444444444,35,46,0.432098765432099,0.438271604938272,41,40,0.506172839506173,46,35,0.567901234567901,0.537037037037037,36,45,0.444444444444444,40,41,0.493827160493827,0.469135802469136,44,37,0.54320987654321,42,39,0.518518518518518,0.530864197530864,40,41,0.493827160493827,38,43,0.469135802469136,0.481481481481481
SFN,San Francisco Giants,SFO03,48,33,0.592592592592593,46,35,0.567901234567901,0.580246913580247,42,40,0.51219512195122,34,46,0.425,0.469135802469136,45,36,0.555555555555556,43,38,0.530864197530864,0.54320987654321,47,34,0.580246913580247,37,44,0.45679012345679,0.518518518518518,45,36,0.555555555555556,42,39,0.518518518518518,0.537037037037037,38,43,0.469135802469136,26,55,0.320987654320988,0.395061728395062
STL,St Louis Cardinals,STL10,50,31,0.617283950617284,38,43,0.469135802469136,0.54320987654321,54,27,0.666666666666667,43,38,0.530864197530864,0.598765432098765,51,30,0.62962962962963,39,42,0.481481481481481,0.555555555555556,55,26,0.679012345679012,45,36,0.555555555555556,0.617283950617284,38,43,0.469135802469136,48,33,0.592592592592593,0.530864197530864,44,37,0.54320987654321,39,42,0.481481481481481,0.512345679012346
TBA,Tampa Bay Rays,STP01,46,35,0.567901234567901,44,37,0.54320987654321,0.555555555555556,51,30,0.62962962962963,41,41,0.5,0.56441717791411,36,45,0.444444444444444,41,40,0.506172839506173,0.475308641975309,42,42,0.5,38,40,0.487179487179487,0.493827160493827,36,45,0.444444444444444,32,49,0.395061728395062,0.419753086419753,42,39,0.518518518518518,38,43,0.469135802469136,0.493827160493827
TEX,Texas Rangers,ARL02,50,31,0.617283950617284,43,38,0.530864197530864,0.574074074074074,46,36,0.560975609756098,45,36,0.555555555555556,0.558282208588957,33,48,0.407407407407407,34,47,0.419753086419753,0.41358024691358,43,38,0.530864197530864,45,36,0.555555555555556,0.54320987654321,53,28,0.654320987654321,42,39,0.518518518518518,0.58641975308642,41,40,0.506172839506173,37,44,0.45679012345679,0.481481481481481
TOR,Toronto Blue Jays,TOR02,41,40,0.506172839506173,32,49,0.395061728395062,0.450617283950617,40,41,0.493827160493827,34,47,0.419753086419753,0.45679012345679,46,35,0.567901234567901,37,44,0.45679012345679,0.512345679012346,53,28,0.654320987654321,40,41,0.493827160493827,0.574074074074074,46,35,0.567901234567901,43,38,0.530864197530864,0.549382716049383,42,39,0.518518518518518,34,47,0.419753086419753,0.469135802469136
WSH,Washington Nationals,WAS11,50,31,0.617283950617284,48,33,0.592592592592593,0.604938271604938,47,34,0.580246913580247,39,42,0.481481481481481,0.530864197530864,51,30,0.62962962962963,45,36,0.555555555555556,0.592592592592593,46,35,0.567901234567901,37,44,0.45679012345679,0.512345679012346,50,31,0.617283950617284,45,36,0.555555555555556,0.58641975308642,47,34,0.580246913580247,50,31,0.617283950617284,0.598765432098765
